index,brand,id,name,price,size,capacity,processor,storage_type
301,ASUS,10234430,"ASUS ZenBook 13 UX325EA 13.3"" Laptop - Intel® Core™ i7, 512 GB SSD, Grey",1199,13.3,512,Intel® Core™ i7,SSD
302,LENOVO,10224414,"LENOVO IdeaPad 3i 14"" Laptop - Intel® Core™ i3, 128 GB SSD, Blue",399,14,128,Intel® Core™ i3,SSD
303,APPLE,10216300,"APPLE MacBook Air 13.3"" (2020) - M1, 256 GB SSD, Silver",909,13.3,256,M1,SSD
304,DELL,10230195,"DELL Inspiron 15 5518 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver",899,15.6,512,Intel® Core™ i7,SSD
305,APPLE,10216302,"APPLE MacBook Air 13.3"" (2020) - M1, 256 GB SSD, Gold",949,13.3,256,M1,SSD
306,LG,10233474,"LG GRAM 17Z90P 17"" Laptop - Intel® Core™ i7, 1 TB SSD, Black",1149,17,1024,Intel® Core™ i7,SSD
307,APPLE,10216299,"APPLE MacBook Air 13.3"" (2020) - M1, 512 GB SSD, Space Grey",1117,13.3,512,M1,SSD
308,ACER,10230157,"ACER Swift 3 14"" Laptop - Intel® Core™ i5, 1 TB SSD, Silver",599,14,1024,Intel® Core™ i5,SSD
309,DELL,10230196,"DELL Inspiron 15 5518 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Silver",649,15.6,256,Intel® Core™ i5,SSD
310,LENOVO,10228899,"LENOVO IdeaPad 3i 15.6"" Laptop - Intel® Celeron®, 128 GB SSD, Blue",279,15.6,128,Intel® Celeron®,SSD
311,ACER,10230153,"ACER Swift 3 14"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver",549,14,512,Intel® Core™ i5,SSD
312,DELL,10230143,"DELL Inspiron 14 5410 14"" 2 in 1 Laptop - Intel® Core™ i5, 256 GB SSD, Silver",619,14,256,Intel® Core™ i5,SSD
313,APPLE,10216315,"APPLE MacBook Pro 16"" (2021) - M1 Max, 1 TB SSD, Space Grey",3299,16,1024,M1 Max,SSD
314,LENOVO,10233246,"LENOVO IdeaPad 5 Pro 16"" Laptop - AMD Ryzen 7, 512 GB SSD, Grey",899,16,512,AMD Ryzen 7,SSD
315,HP,10230080,"HP ENVY x360 15.6"" 2 in 1 Laptop - AMD Ryzen 7, 512 GB SSD, Black",999,15.6,512,AMD Ryzen 7,SSD
316,APPLE,10216318,"APPLE MacBook Pro 16"" (2021) - M1 Max, 1 TB SSD, Silver",3299,16,1024,M1 Max,SSD
317,HP,10226010,"HP 17-cn0528sa 17.3"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Black",369,17.3,128,Intel® Pentium® Gold,SSD
318,ACER,10217139,"ACER Swift 1 14"" Laptop - Intel® Pentium™, 256 GB SSD, Silver",399,14,256,Intel® Pentium™,SSD
319,ACER,10226584,"ACER Aspire 5 A517-52G 17.3"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver",899,17.3,512,Intel® Core™ i7,SSD
320,ASUS,10231211,"ASUS VivoBook Pro N7600PC-L2010W 16"" Laptop - Intel® Core™ i7, 1 TB SSD, Silver",1199,16,1024,Intel® Core™ i7,SSD
321,LG,10233469,"LG GRAM 16Z90P 16"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver",799,16,512,Intel® Core™ i5,SSD
